xed_index	isa_set	macro_token	group_token	group_id	group_allocation	decode_bit_token	decode_bit_id	decode_bitmap_index	decode_bitmap_mask	bit_allocation	record_count
91	AVX512_BITALG_256	AVX512_BITALG_256	AVX512_BITALG_256	194	appended	AVX512_BITALG_256	142	2	0x0000000000004000	appended	6
92	AVX512_BITALG_512	AVX512_BITALG_512	AVX512_BITALG_512	195	appended	AVX512_BITALG_512	143	2	0x0000000000008000	appended	6
93	AVX512_COM_EF_SCALAR	AVX512_COM_EF_SCALAR	AVX512_COM_EF_SCALAR	196	appended	AVX512_COM_EF_SCALAR	144	2	0x0000000000010000	appended	18
94	AVX512_FP16_128	AVX512_FP16_128	AVX512_FP16_128	197	appended	AVX512_FP16_128	145	2	0x0000000000020000	appended	120
95	AVX512_FP16_128N	AVX512_FP16_128N	AVX512_FP16_128N	198	appended	AVX512_FP16_128N	146	2	0x0000000000040000	appended	4
96	AVX512_FP16_256	AVX512_FP16_256	AVX512_FP16_256	199	appended	AVX512_FP16_256	147	2	0x0000000000080000	appended	120
97	AVX512_FP16_512	AVX512_FP16_512	AVX512_FP16_512	200	appended	AVX512_FP16_512	148	2	0x0000000000100000	appended	177
98	AVX512_FP16_CONVERT_128	AVX512_FP16_CONVERT_128	AVX512_FP16_CONVERT_128	201	appended	AVX512_FP16_CONVERT_128	149	2	0x0000000000200000	appended	2
99	AVX512_FP16_CONVERT_256	AVX512_FP16_CONVERT_256	AVX512_FP16_CONVERT_256	202	appended	AVX512_FP16_CONVERT_256	150	2	0x0000000000400000	appended	2
100	AVX512_FP16_CONVERT_512	AVX512_FP16_CONVERT_512	AVX512_FP16_CONVERT_512	203	appended	AVX512_FP16_CONVERT_512	151	2	0x0000000000800000	appended	3
101	AVX512_FP16_SCALAR	AVX512_FP16_SCALAR	AVX512_FP16_SCALAR	204	appended	AVX512_FP16_SCALAR	152	2	0x0000000001000000	appended	169
102	AVX512_FP8_CONVERT_128	AVX512_FP8_CONVERT_128	AVX512_FP8_CONVERT_128	205	appended	AVX512_FP8_CONVERT_128	153	2	0x0000000002000000	appended	26
103	AVX512_FP8_CONVERT_256	AVX512_FP8_CONVERT_256	AVX512_FP8_CONVERT_256	206	appended	AVX512_FP8_CONVERT_256	154	2	0x0000000004000000	appended	26
104	AVX512_FP8_CONVERT_512	AVX512_FP8_CONVERT_512	AVX512_FP8_CONVERT_512	207	appended	AVX512_FP8_CONVERT_512	155	2	0x0000000008000000	appended	26
105	AVX512_GFNI_128	AVX512_GFNI_128	AVX512_GFNI_128	208	appended	AVX512_GFNI_128	156	2	0x0000000010000000	appended	6
106	AVX512_GFNI_256	AVX512_GFNI_256	AVX512_GFNI_256	209	appended	AVX512_GFNI_256	157	2	0x0000000020000000	appended	6
107	AVX512_GFNI_512	AVX512_GFNI_512	AVX512_GFNI_512	210	appended	AVX512_GFNI_512	158	2	0x0000000040000000	appended	6
108	AVX512_IFMA_128	AVX512_IFMA_128	AVX512_IFMA_128	211	appended	AVX512_IFMA_128	159	2	0x0000000080000000	appended	4
109	AVX512_IFMA_256	AVX512_IFMA_256	AVX512_IFMA_256	212	appended	AVX512_IFMA_256	160	2	0x0000000100000000	appended	4
110	AVX512_IFMA_512	AVX512_IFMA_512	AVX512_IFMA_512	213	appended	AVX512_IFMA_512	161	2	0x0000000200000000	appended	4
111	AVX512_MEDIAX_128	AVX512_MEDIAX_128	AVX512_MEDIAX_128	214	appended	AVX512_MEDIAX_128	162	2	0x0000000400000000	appended	2
112	AVX512_MEDIAX_256	AVX512_MEDIAX_256	AVX512_MEDIAX_256	215	appended	AVX512_MEDIAX_256	163	2	0x0000000800000000	appended	2
113	AVX512_MEDIAX_512	AVX512_MEDIAX_512	AVX512_MEDIAX_512	216	appended	AVX512_MEDIAX_512	164	2	0x0000001000000000	appended	2
114	AVX512_MINMAX_128	AVX512_MINMAX_128	AVX512_MINMAX_128	217	appended	AVX512_MINMAX_128	165	2	0x0000002000000000	appended	8
115	AVX512_MINMAX_256	AVX512_MINMAX_256	AVX512_MINMAX_256	218	appended	AVX512_MINMAX_256	166	2	0x0000004000000000	appended	8
116	AVX512_MINMAX_512	AVX512_MINMAX_512	AVX512_MINMAX_512	219	appended	AVX512_MINMAX_512	167	2	0x0000008000000000	appended	11
117	AVX512_MINMAX_SCALAR	AVX512_MINMAX_SCALAR	AVX512_MINMAX_SCALAR	220	appended	AVX512_MINMAX_SCALAR	168	2	0x0000010000000000	appended	9
118	AVX512_MOVZXC_128	AVX512_MOVZXC_128	AVX512_MOVZXC_128	221	appended	AVX512_MOVZXC_128	169	2	0x0000020000000000	appended	8
119	AVX512_SAT_CVT_128	AVX512_SAT_CVT_128	AVX512_SAT_CVT_128	222	appended	AVX512_SAT_CVT_128	170	2	0x0000040000000000	appended	24
120	AVX512_SAT_CVT_256	AVX512_SAT_CVT_256	AVX512_SAT_CVT_256	223	appended	AVX512_SAT_CVT_256	171	2	0x0000080000000000	appended	24
121	AVX512_SAT_CVT_512	AVX512_SAT_CVT_512	AVX512_SAT_CVT_512	224	appended	AVX512_SAT_CVT_512	172	2	0x0000100000000000	appended	34
122	AVX512_SAT_CVT_DS_128	AVX512_SAT_CVT_DS_128	AVX512_SAT_CVT_DS_128	225	appended	AVX512_SAT_CVT_DS_128	173	2	0x0000200000000000	appended	16
123	AVX512_SAT_CVT_DS_256	AVX512_SAT_CVT_DS_256	AVX512_SAT_CVT_DS_256	226	appended	AVX512_SAT_CVT_DS_256	174	2	0x0000400000000000	appended	16
124	AVX512_SAT_CVT_DS_512	AVX512_SAT_CVT_DS_512	AVX512_SAT_CVT_DS_512	227	appended	AVX512_SAT_CVT_DS_512	175	2	0x0000800000000000	appended	24
125	AVX512_SAT_CVT_DS_SCALAR	AVX512_SAT_CVT_DS_SCALAR	AVX512_SAT_CVT_DS_SCALAR	228	appended	AVX512_SAT_CVT_DS_SCALAR	176	2	0x0001000000000000	appended	36
126	AVX512_VAES_128	AVX512_VAES_128	AVX512_VAES_128	229	appended	AVX512_VAES_128	177	2	0x0002000000000000	appended	8
127	AVX512_VAES_256	AVX512_VAES_256	AVX512_VAES_256	230	appended	AVX512_VAES_256	178	2	0x0004000000000000	appended	8
128	AVX512_VAES_512	AVX512_VAES_512	AVX512_VAES_512	231	appended	AVX512_VAES_512	179	2	0x0008000000000000	appended	8
129	AVX512_VBMI2_128	AVX512_VBMI2_128	AVX512_VBMI2_128	232	appended	AVX512_VBMI2_128	180	2	0x0010000000000000	appended	32
130	AVX512_VBMI2_256	AVX512_VBMI2_256	AVX512_VBMI2_256	233	appended	AVX512_VBMI2_256	181	2	0x0020000000000000	appended	32
131	AVX512_VBMI2_512	AVX512_VBMI2_512	AVX512_VBMI2_512	234	appended	AVX512_VBMI2_512	182	2	0x0040000000000000	appended	32
132	AVX512_VBMI_128	AVX512_VBMI_128	AVX512_VBMI_128	235	appended	AVX512_VBMI_128	183	2	0x0080000000000000	appended	8
133	AVX512_VBMI_256	AVX512_VBMI_256	AVX512_VBMI_256	236	appended	AVX512_VBMI_256	184	2	0x0100000000000000	appended	8
134	AVX512_VBMI_512	AVX512_VBMI_512	AVX512_VBMI_512	237	appended	AVX512_VBMI_512	185	2	0x0200000000000000	appended	8
135	AVX512_VNNI_128	AVX512_VNNI_128	AVX512_VNNI_128	238	appended	AVX512_VNNI_128	186	2	0x0400000000000000	appended	8
136	AVX512_VNNI_256	AVX512_VNNI_256	AVX512_VNNI_256	239	appended	AVX512_VNNI_256	187	2	0x0800000000000000	appended	8
137	AVX512_VNNI_512	AVX512_VNNI_512	AVX512_VNNI_512	240	appended	AVX512_VNNI_512	188	2	0x1000000000000000	appended	8
138	AVX512_VNNI_FP16_128	AVX512_VNNI_FP16_128	AVX512_VNNI_FP16_128	241	appended	AVX512_VNNI_FP16_128	189	2	0x2000000000000000	appended	2
139	AVX512_VNNI_FP16_256	AVX512_VNNI_FP16_256	AVX512_VNNI_FP16_256	242	appended	AVX512_VNNI_FP16_256	190	2	0x4000000000000000	appended	2
140	AVX512_VNNI_FP16_512	AVX512_VNNI_FP16_512	AVX512_VNNI_FP16_512	243	appended	AVX512_VNNI_FP16_512	191	2	0x8000000000000000	appended	2
141	AVX512_VNNI_INT16_128	AVX512_VNNI_INT16_128	AVX512_VNNI_INT16_128	244	appended	AVX512_VNNI_INT16_128	192	3	0x0000000000000001	appended	12
142	AVX512_VNNI_INT16_256	AVX512_VNNI_INT16_256	AVX512_VNNI_INT16_256	245	appended	AVX512_VNNI_INT16_256	193	3	0x0000000000000002	appended	12
143	AVX512_VNNI_INT16_512	AVX512_VNNI_INT16_512	AVX512_VNNI_INT16_512	246	appended	AVX512_VNNI_INT16_512	194	3	0x0000000000000004	appended	12
144	AVX512_VNNI_INT8_128	AVX512_VNNI_INT8_128	AVX512_VNNI_INT8_128	247	appended	AVX512_VNNI_INT8_128	195	3	0x0000000000000008	appended	12
145	AVX512_VNNI_INT8_256	AVX512_VNNI_INT8_256	AVX512_VNNI_INT8_256	248	appended	AVX512_VNNI_INT8_256	196	3	0x0000000000000010	appended	12
146	AVX512_VNNI_INT8_512	AVX512_VNNI_INT8_512	AVX512_VNNI_INT8_512	249	appended	AVX512_VNNI_INT8_512	197	3	0x0000000000000020	appended	12
147	AVX512_VP2INTERSECT_128	AVX512_VP2INTERSECT_128	AVX512_VP2INTERSECT_128	250	appended	AVX512_VP2INTERSECT_128	198	3	0x0000000000000040	appended	4
148	AVX512_VP2INTERSECT_256	AVX512_VP2INTERSECT_256	AVX512_VP2INTERSECT_256	251	appended	AVX512_VP2INTERSECT_256	199	3	0x0000000000000080	appended	4
149	AVX512_VP2INTERSECT_512	AVX512_VP2INTERSECT_512	AVX512_VP2INTERSECT_512	252	appended	AVX512_VP2INTERSECT_512	200	3	0x0000000000000100	appended	4
150	AVX512_VPCLMULQDQ_128	AVX512_VPCLMULQDQ_128	AVX512_VPCLMULQDQ_128	253	appended	AVX512_VPCLMULQDQ_128	201	3	0x0000000000000200	appended	2
151	AVX512_VPCLMULQDQ_256	AVX512_VPCLMULQDQ_256	AVX512_VPCLMULQDQ_256	254	appended	AVX512_VPCLMULQDQ_256	202	3	0x0000000000000400	appended	2
152	AVX512_VPCLMULQDQ_512	AVX512_VPCLMULQDQ_512	AVX512_VPCLMULQDQ_512	255	appended	AVX512_VPCLMULQDQ_512	203	3	0x0000000000000800	appended	2
153	AVX512_VPOPCNTDQ_128	AVX512_VPOPCNTDQ_128	AVX512_VPOPCNTDQ_128	256	appended	AVX512_VPOPCNTDQ_128	204	3	0x0000000000001000	appended	4
154	AVX512_VPOPCNTDQ_256	AVX512_VPOPCNTDQ_256	AVX512_VPOPCNTDQ_256	257	appended	AVX512_VPOPCNTDQ_256	205	3	0x0000000000002000	appended	4
155	AVX512_VPOPCNTDQ_512	AVX512_VPOPCNTDQ_512	AVX512_VPOPCNTDQ_512	258	appended	AVX512_VPOPCNTDQ_512	206	3	0x0000000000004000	appended	4
156	AVXAES	AVXAES	AVXAES	259	appended	AVXAES	207	3	0x0000000000008000	appended	12
157	AVX_GFNI	AVX_GFNI	AVX_GFNI	260	appended	AVX_GFNI	208	3	0x0000000000010000	appended	12
158	AVX_IFMA	AVX_IFMA	AVX_IFMA	261	appended	AVX_IFMA	209	3	0x0000000000020000	appended	8
159	AVX_NE_CONVERT	AVX_NE_CONVERT	AVX_NE_CONVERT	262	appended	AVX_NE_CONVERT	210	3	0x0000000000040000	appended	16
160	AVX_VNNI	AVX_VNNI	AVX_VNNI	83	existing	AVX_VNNI	61	0	0x2000000000000000	existing	16
161	AVX_VNNI_INT16	AVX_VNNI_INT16	AVX_VNNI_INT16	109	existing	AVX_VNNI_INT16	63	0	0x8000000000000000	existing	24
162	AVX_VNNI_INT8	AVX_VNNI_INT8	AVX_VNNI_INT8	108	existing	AVX_VNNI_INT8	62	0	0x4000000000000000	existing	24
163	BMI1	BMI1	BMI1	48	existing	BMI1	58	0	0x0400000000000000	existing	32
164	BMI2	BMI2	BMI2	49	existing	BMI2	59	0	0x0800000000000000	existing	48
165	CET	CET	CET	263	appended	CET_ISA_SET	269	4	0x0000000000002000	appended	14
166	CLDEMOTE	CLDEMOTE	CLDEMOTE	264	appended	CLDEMOTE	211	3	0x0000000000080000	appended	1
167	CLFLUSHOPT	CLFLUSHOPT	CLFLUSHOPT	58	existing	MEMORY_HINTS	29	0	0x0000000020000000	existing	1
168	CLFSH	CLFSH	CLFSH	265	appended	CLFSH	212	3	0x0000000000100000	appended	1
169	CLWB	CLWB	CLWB	102	existing	MEMORY_HINTS	29	0	0x0000000020000000	existing	1
170	CLZERO	CLZERO	CLZERO	266	appended	CLZERO	213	3	0x0000000000200000	appended	1
171	CMOV	CMOV	CMOV	10	existing	NONE	none	none	0x0000000000000000	base	32
172	CMPCCXADD	CMPCCXADD	CMPCCXADD	267	appended	CMPCCXADD	214	3	0x0000000000400000	appended	32
173	CMPXCHG16B	CMPXCHG16B	CMPXCHG16B	112	existing	NONE	none	none	0x0000000000000000	base	2
174	ENQCMD	ENQCMD	ENQCMD	115	existing	SYSTEM	24	0	0x0000000001000000	existing	2
175	F16C	F16C	F16C	44	existing	F16C	10	0	0x0000000000000400	existing	8
176	FAT_NOP	FAT_NOP	FAT_NOP	268	appended	FAT_NOP	215	3	0x0000000000800000	appended	18
177	FCMOV	FCMOV	FCMOV	11	existing	FPU	0	0	0x0000000000000001	existing	8
178	FCOMI	FCOMI	FCOMI	12	existing	FPU	0	0	0x0000000000000001	existing	4
179	FMA	FMA	FMA3	47	existing_alias	FMA3	11	0	0x0000000000000800	existing	192
180	FMA4	FMA4	FMA4	39	existing	FMA4	13	0	0x0000000000002000	existing	128
181	FRED	FRED	FRED	269	appended	FRED	216	3	0x0000000001000000	appended	2
182	FXSAVE	FXSAVE	FXSR	15	existing_alias	STATE	26	0	0x0000000004000000	existing	2
183	FXSAVE64	FXSAVE64	FXSAVE64	270	appended	FXSAVE64	217	3	0x0000000002000000	appended	2
184	GFNI	GFNI	GFNI	76	existing	GFNI	17	0	0x0000000000020000	existing	6
185	HRESET	HRESET	HRESET	271	appended	HRESET	218	3	0x0000000004000000	appended	1
186	I186	I186	I186	2	existing	NONE	none	none	0x0000000000000000	base	72
187	I286PROTECTED	I286PROTECTED	I286PROTECTED	272	appended	I286PROTECTED	219	3	0x0000000008000000	appended	18
188	I286REAL	I286REAL	I286REAL	273	appended	I286REAL	220	3	0x0000000010000000	appended	13
189	I386	I386	I386	4	existing	NONE	none	none	0x0000000000000000	base	176
190	I486	I486	I486	5	existing	NONE	none	none	0x0000000000000000	base	1
191	I486REAL	I486REAL	I486REAL	274	appended	I486REAL	221	3	0x0000000020000000	appended	18
192	I86	I86	I86	1	existing	NONE	none	none	0x0000000000000000	base	566
193	IBHF	IBHF	IBHF	275	appended	IBHF	222	3	0x0000000040000000	appended	1
194	ICACHE_PREFETCH	ICACHE_PREFETCH	ICACHE_PREFETCH	276	appended	ICACHE_PREFETCH	223	3	0x0000000080000000	appended	2
195	INVPCID	INVPCID	INVPCID	53	existing	SYSTEM	24	0	0x0000000001000000	existing	2
196	KEYLOCKER	KEYLOCKER	KEYLOCKER	277	appended	KEYLOCKER	224	3	0x0000000100000000	appended	7
